
==================================================================================================================================
🏆 EXHAUSTIVE ANOMALIES REPORT (Factors appearing in >= 2 puzzles)
Sorted by Frequency (Count) -> then by Factor Size
Factor                              | Remainder    | Count    | Coverage %   | Puzzles
----------------------------------------------------------------------------------------------------------------------------------
31                                  | 13           | 9        |  14.75%       | [27, 28, 38, 41, 51, 58, 75, 100, 125]
23                                  | 0            | 9        |  14.75%       | [22, 32, 41, 49, 57, 67, 95, 100, 120]
19                                  | 0            | 8        |  13.11%       | [21, 24, 31, 34, 55, 64, 100, 125]
17                                  | 12           | 8        |  13.11%       | [34, 45, 49, 58, 63, 65, 80, 125]
11                                  | 9            | 8        |  13.11%       | [21, 24, 30, 48, 53, 63, 75, 115]
11                                  | 8            | 8        |  13.11%       | [42, 45, 51, 54, 56, 61, 70, 80]
23                                  | 10           | 7        |  11.48%       | [39, 44, 46, 59, 68, 115, 125]
17                                  | 7            | 7        |  11.48%       | [29, 35, 38, 52, 56, 61, 120]
13                                  | 0            | 7        |  11.48%       | [35, 48, 56, 58, 60, 61, 66]
13                                  | 4            | 7        |  11.48%       | [37, 40, 43, 50, 64, 70, 80]
11                                  | 4            | 7        |  11.48%       | [22, 26, 27, 55, 57, 59, 125]
11                                  | 3            | 7        |  11.48%       | [29, 32, 47, 60, 62, 64, 68]
107                                 | 44           | 6        |   9.84%       | [30, 35, 39, 53, 55, 66]
29                                  | 10           | 6        |   9.84%       | [28, 32, 37, 39, 63, 105]
23                                  | 5            | 6        |   9.84%       | [25, 47, 48, 58, 60, 62]
19                                  | 18           | 6        |   9.84%       | [33, 52, 61, 62, 63, 67]
17                                  | 5            | 6        |   9.84%       | [23, 28, 44, 46, 57, 75]
17                                  | 4            | 6        |   9.84%       | [30, 37, 41, 62, 70, 115]
13                                  | 6            | 6        |   9.84%       | [21, 25, 30, 39, 55, 75]
13                                  | 10           | 6        |   9.84%       | [36, 38, 41, 45, 65, 85]
11                                  | 5            | 6        |   9.84%       | [25, 44, 46, 52, 66, 110]
11                                  | 1            | 6        |   9.84%       | [28, 38, 41, 58, 85, 100]
89                                  | 25           | 5        |   8.20%       | [42, 48, 61, 95, 105]
61                                  | 39           | 5        |   8.20%       | [23, 40, 75, 115, 120]
61                                  | 5            | 5        |   8.20%       | [31, 32, 36, 45, 59]
41                                  | 38           | 5        |   8.20%       | [24, 44, 65, 75, 120]
37                                  | 27           | 5        |   8.20%       | [41, 43, 52, 58, 70]
31                                  | 16           | 5        |   8.20%       | [23, 31, 37, 47, 105]
29                                  | 2            | 5        |   8.20%       | [29, 40, 42, 43, 64]
23                                  | 17           | 5        |   8.20%       | [24, 27, 54, 64, 110]
13                                  | 1            | 5        |   8.20%       | [23, 26, 28, 29, 52]
13                                  | 2            | 5        |   8.20%       | [24, 53, 63, 67, 110]
13                                  | 3            | 5        |   8.20%       | [31, 32, 42, 54, 125]
13                                  | 11           | 5        |   8.20%       | [44, 62, 69, 90, 115]
11                                  | 10           | 5        |   8.20%       | [31, 37, 40, 43, 95]
367                                 | 58           | 4        |   6.56%       | [31, 38, 67, 75]
103                                 | 28           | 4        |   6.56%       | [49, 54, 57, 80]
97                                  | 14           | 4        |   6.56%       | [33, 56, 61, 120]
79                                  | 57           | 4        |   6.56%       | [21, 32, 44, 100]
71                                  | 56           | 4        |   6.56%       | [24, 36, 58, 63]
67                                  | 19           | 4        |   6.56%       | [36, 39, 45, 49]
43                                  | 0            | 4        |   6.56%       | [27, 31, 51, 62]
41                                  | 30           | 4        |   6.56%       | [22, 28, 46, 110]
41                                  | 21           | 4        |   6.56%       | [33, 37, 64, 115]
37                                  | 13           | 4        |   6.56%       | [32, 33, 61, 66]
37                                  | 29           | 4        |   6.56%       | [39, 42, 59, 105]
31                                  | 11           | 4        |   6.56%       | [29, 54, 56, 69]
31                                  | 2            | 4        |   6.56%       | [43, 63, 90, 120]
31                                  | 26           | 4        |   6.56%       | [45, 50, 55, 115]
29                                  | 12           | 4        |   6.56%       | [26, 38, 49, 56]
29                                  | 22           | 4        |   6.56%       | [30, 34, 68, 95]
29                                  | 20           | 4        |   6.56%       | [33, 36, 48, 58]
29                                  | 5            | 4        |   6.56%       | [35, 41, 75, 120]
29                                  | 9            | 4        |   6.56%       | [44, 59, 90, 115]
23                                  | 8            | 4        |   6.56%       | [21, 38, 40, 75]
19                                  | 12           | 4        |   6.56%       | [22, 32, 51, 70]
19                                  | 15           | 4        |   6.56%       | [23, 29, 30, 90]
19                                  | 14           | 4        |   6.56%       | [25, 60, 85, 105]
19                                  | 3            | 4        |   6.56%       | [27, 38, 42, 75]
17                                  | 6            | 4        |   6.56%       | [21, 26, 43, 64]
17                                  | 16           | 4        |   6.56%       | [22, 33, 50, 53]
17                                  | 13           | 4        |   6.56%       | [25, 31, 54, 95]
17                                  | 0            | 4        |   6.56%       | [47, 66, 85, 100]
13                                  | 5            | 4        |   6.56%       | [22, 46, 51, 100]
11                                  | 0            | 4        |   6.56%       | [23, 33, 69, 105]
11                                  | 7            | 4        |   6.56%       | [39, 67, 90, 120]
2273                                | 236          | 3        |   4.92%       | [51, 66, 115]
1669                                | 250          | 3        |   4.92%       | [46, 55, 62]
1613                                | 871          | 3        |   4.92%       | [22, 50, 61]
1439                                | 773          | 3        |   4.92%       | [63, 95, 120]
1303                                | 24           | 3        |   4.92%       | [33, 55, 65]
1277                                | 62           | 3        |   4.92%       | [37, 42, 59]
1039                                | 787          | 3        |   4.92%       | [21, 53, 65]
1033                                | 410          | 3        |   4.92%       | [37, 39, 100]
1033                                | 783          | 3        |   4.92%       | [55, 62, 95]
883                                 | 367          | 3        |   4.92%       | [26, 59, 75]
827                                 | 249          | 3        |   4.92%       | [39, 47, 51]
667                                 | 125          | 3        |   4.92%       | [44, 59, 115]
631                                 | 570          | 3        |   4.92%       | [23, 70, 120]
601                                 | 469          | 3        |   4.92%       | [24, 27, 80]
601                                 | 547          | 3        |   4.92%       | [58, 65, 67]
541                                 | 40           | 3        |   4.92%       | [45, 48, 70]
523                                 | 65           | 3        |   4.92%       | [41, 51, 115]
409                                 | 102          | 3        |   4.92%       | [38, 52, 66]
401                                 | 18           | 3        |   4.92%       | [32, 36, 70]
397                                 | 308          | 3        |   4.92%       | [23, 27, 59]
397                                 | 166          | 3        |   4.92%       | [28, 47, 85]
359                                 | 267          | 3        |   4.92%       | [25, 55, 58]
349                                 | 105          | 3        |   4.92%       | [21, 43, 105]
349                                 | 283          | 3        |   4.92%       | [26, 30, 115]
313                                 | 227          | 3        |   4.92%       | [32, 59, 67]
281                                 | 93           | 3        |   4.92%       | [38, 46, 75]
271                                 | 164          | 3        |   4.92%       | [29, 51, 70]
239                                 | 234          | 3        |   4.92%       | [39, 75, 95]
223                                 | 89           | 3        |   4.92%       | [32, 43, 57]
211                                 | 113          | 3        |   4.92%       | [40, 59, 110]
199                                 | 103          | 3        |   4.92%       | [27, 32, 90]
197                                 | 59           | 3        |   4.92%       | [29, 33, 75]
179                                 | 124          | 3        |   4.92%       | [22, 69, 80]
179                                 | 119          | 3        |   4.92%       | [27, 45, 85]
179                                 | 170          | 3        |   4.92%       | [41, 43, 48]
167                                 | 148          | 3        |   4.92%       | [21, 39, 46]
167                                 | 0            | 3        |   4.92%       | [22, 31, 58]
167                                 | 85           | 3        |   4.92%       | [53, 62, 115]
157                                 | 10           | 3        |   4.92%       | [67, 85, 125]
151                                 | 88           | 3        |   4.92%       | [25, 53, 58]
137                                 | 3            | 3        |   4.92%       | [28, 37, 70]
137                                 | 11           | 3        |   4.92%       | [30, 47, 59]
137                                 | 21           | 3        |   4.92%       | [35, 61, 67]
131                                 | 74           | 3        |   4.92%       | [24, 31, 95]
131                                 | 65           | 3        |   4.92%       | [25, 41, 54]
131                                 | 68           | 3        |   4.92%       | [29, 52, 120]
127                                 | 64           | 3        |   4.92%       | [49, 69, 100]
113                                 | 8            | 3        |   4.92%       | [22, 25, 95]
113                                 | 2            | 3        |   4.92%       | [34, 61, 120]
109                                 | 75           | 3        |   4.92%       | [21, 115, 125]
109                                 | 74           | 3        |   4.92%       | [27, 41, 49]
109                                 | 8            | 3        |   4.92%       | [68, 85, 100]
109                                 | 87           | 3        |   4.92%       | [70, 90, 105]
107                                 | 47           | 3        |   4.92%       | [24, 52, 59]
103                                 | 24           | 3        |   4.92%       | [24, 55, 90]
101                                 | 26           | 3        |   4.92%       | [21, 22, 27]
97                                  | 59           | 3        |   4.92%       | [23, 50, 110]
97                                  | 30           | 3        |   4.92%       | [26, 32, 80]
89                                  | 85           | 3        |   4.92%       | [24, 64, 90]
89                                  | 45           | 3        |   4.92%       | [27, 32, 35]
89                                  | 87           | 3        |   4.92%       | [28, 40, 51]
89                                  | 41           | 3        |   4.92%       | [52, 60, 67]
83                                  | 40           | 3        |   4.92%       | [21, 54, 70]
83                                  | 39           | 3        |   4.92%       | [24, 27, 41]
83                                  | 60           | 3        |   4.92%       | [26, 38, 63]
83                                  | 71           | 3        |   4.92%       | [33, 36, 85]
83                                  | 65           | 3        |   4.92%       | [48, 52, 66]
83                                  | 73           | 3        |   4.92%       | [80, 90, 120]
79                                  | 27           | 3        |   4.92%       | [26, 33, 48]
79                                  | 59           | 3        |   4.92%       | [41, 43, 75]
73                                  | 49           | 3        |   4.92%       | [22, 35, 66]
73                                  | 61           | 3        |   4.92%       | [27, 47, 68]
73                                  | 8            | 3        |   4.92%       | [43, 75, 110]
71                                  | 64           | 3        |   4.92%       | [53, 75, 125]
67                                  | 7            | 3        |   4.92%       | [22, 25, 56]
67                                  | 32           | 3        |   4.92%       | [28, 34, 85]
61                                  | 20           | 3        |   4.92%       | [22, 38, 66]
61                                  | 21           | 3        |   4.92%       | [30, 51, 110]
61                                  | 56           | 3        |   4.92%       | [61, 64, 85]
59                                  | 15           | 3        |   4.92%       | [25, 31, 55]
59                                  | 29           | 3        |   4.92%       | [26, 75, 120]
59                                  | 52           | 3        |   4.92%       | [34, 50, 54]
59                                  | 4            | 3        |   4.92%       | [35, 65, 90]
59                                  | 0            | 3        |   4.92%       | [42, 70, 85]
59                                  | 25           | 3        |   4.92%       | [56, 80, 125]
59                                  | 7            | 3        |   4.92%       | [60, 110, 115]
53                                  | 12           | 3        |   4.92%       | [21, 30, 38]
53                                  | 18           | 3        |   4.92%       | [22, 43, 50]
53                                  | 2            | 3        |   4.92%       | [27, 42, 64]
53                                  | 31           | 3        |   4.92%       | [32, 58, 90]
53                                  | 45           | 3        |   4.92%       | [33, 95, 120]
53                                  | 43           | 3        |   4.92%       | [34, 54, 67]
53                                  | 47           | 3        |   4.92%       | [44, 45, 48]
53                                  | 0            | 3        |   4.92%       | [51, 52, 125]
47                                  | 5            | 3        |   4.92%       | [24, 33, 105]
47                                  | 15           | 3        |   4.92%       | [26, 44, 57]
47                                  | 18           | 3        |   4.92%       | [35, 36, 69]
47                                  | 2            | 3        |   4.92%       | [38, 43, 64]
47                                  | 25           | 3        |   4.92%       | [39, 53, 65]
47                                  | 12           | 3        |   4.92%       | [55, 67, 125]
43                                  | 30           | 3        |   4.92%       | [23, 39, 45]
43                                  | 26           | 3        |   4.92%       | [24, 53, 67]
43                                  | 1            | 3        |   4.92%       | [25, 69, 125]
43                                  | 27           | 3        |   4.92%       | [26, 66, 120]
43                                  | 19           | 3        |   4.92%       | [28, 38, 115]
43                                  | 31           | 3        |   4.92%       | [40, 43, 58]
43                                  | 7            | 3        |   4.92%       | [41, 59, 110]
41                                  | 15           | 3        |   4.92%       | [21, 27, 50]
41                                  | 18           | 3        |   4.92%       | [32, 43, 56]
41                                  | 12           | 3        |   4.92%       | [36, 48, 61]
41                                  | 36           | 3        |   4.92%       | [40, 53, 95]
41                                  | 33           | 3        |   4.92%       | [41, 105, 125]
37                                  | 22           | 3        |   4.92%       | [21, 57, 95]
37                                  | 32           | 3        |   4.92%       | [22, 36, 50]
37                                  | 11           | 3        |   4.92%       | [26, 28, 110]
37                                  | 26           | 3        |   4.92%       | [37, 47, 64]
37                                  | 28           | 3        |   4.92%       | [49, 53, 55]
37                                  | 31           | 3        |   4.92%       | [56, 80, 100]
37                                  | 33           | 3        |   4.92%       | [60, 69, 125]
37                                  | 18           | 3        |   4.92%       | [63, 75, 115]
31                                  | 5            | 3        |   4.92%       | [24, 30, 53]
31                                  | 20           | 3        |   4.92%       | [33, 40, 62]
31                                  | 22           | 3        |   4.92%       | [36, 42, 70]
29                                  | 26           | 3        |   4.92%       | [25, 60, 66]
29                                  | 11           | 3        |   4.92%       | [51, 52, 67]
23                                  | 4            | 3        |   4.92%       | [23, 28, 66]
23                                  | 20           | 3        |   4.92%       | [26, 31, 36]
23                                  | 14           | 3        |   4.92%       | [30, 35, 61]
23                                  | 11           | 3        |   4.92%       | [33, 52, 56]
23                                  | 3            | 3        |   4.92%       | [34, 37, 70]
23                                  | 2            | 3        |   4.92%       | [42, 65, 85]
19                                  | 8            | 3        |   4.92%       | [26, 54, 68]
19                                  | 11           | 3        |   4.92%       | [35, 50, 80]
19                                  | 2            | 3        |   4.92%       | [36, 110, 120]
19                                  | 1            | 3        |   4.92%       | [37, 56, 59]
19                                  | 16           | 3        |   4.92%       | [39, 48, 65]
19                                  | 7            | 3        |   4.92%       | [41, 45, 115]
19                                  | 4            | 3        |   4.92%       | [46, 66, 95]
19                                  | 5            | 3        |   4.92%       | [47, 49, 53]
17                                  | 10           | 3        |   4.92%       | [39, 51, 90]
13                                  | 12           | 3        |   4.92%       | [27, 47, 49]
13                                  | 7            | 3        |   4.92%       | [33, 59, 95]
13                                  | 9            | 3        |   4.92%       | [34, 57, 105]
11                                  | 6            | 3        |   4.92%       | [34, 36, 49]
11                                  | 2            | 3        |   4.92%       | [35, 50, 65]
33583493                            | 33185509     | 2        |   3.28%       | [25, 46]
31983401                            | 817524       | 2        |   3.28%       | [48, 49]
31511803                            | 487400       | 2        |   3.28%       | [38, 40]
18071609                            | 17620487     | 2        |   3.28%       | [75, 100]
11632081                            | 466816       | 2        |   3.28%       | [36, 59]
10578259                            | 9859832      | 2        |   3.28%       | [42, 45]
8985763                             | 396964       | 2        |   3.28%       | [38, 47]
8121521                             | 7626892      | 2        |   3.28%       | [37, 63]
7719289                             | 19391        | 2        |   3.28%       | [45, 90]
7693963                             | 6956089      | 2        |   3.28%       | [34, 48]
6894241                             | 124455       | 2        |   3.28%       | [28, 55]
6630359                             | 944222       | 2        |   3.28%       | [85, 100]
6465853                             | 6291861      | 2        |   3.28%       | [29, 69]
6340261                             | 5725273      | 2        |   3.28%       | [28, 50]
6326293                             | 6183840      | 2        |   3.28%       | [45, 53]
6103739                             | 5708950      | 2        |   3.28%       | [26, 38]
5582807                             | 5340980      | 2        |   3.28%       | [49, 59]
5494361                             | 147571       | 2        |   3.28%       | [32, 42]
5474477                             | 677446       | 2        |   3.28%       | [47, 90]
5352107                             | 4907801      | 2        |   3.28%       | [27, 69]
5305987                             | 944743       | 2        |   3.28%       | [56, 67]
5267599                             | 5065308      | 2        |   3.28%       | [66, 68]
5235649                             | 4757591      | 2        |   3.28%       | [66, 67]
5078789                             | 5047931      | 2        |   3.28%       | [46, 63]
4801921                             | 4053546      | 2        |   3.28%       | [51, 59]
4657999                             | 157965       | 2        |   3.28%       | [27, 53]
4646149                             | 952653       | 2        |   3.28%       | [23, 36]
4298191                             | 649446       | 2        |   3.28%       | [61, 100]
4293451                             | 78421        | 2        |   3.28%       | [46, 68]
4237841                             | 532788       | 2        |   3.28%       | [39, 110]
4086829                             | 3331807      | 2        |   3.28%       | [42, 59]
4054873                             | 3224342      | 2        |   3.28%       | [30, 44]
4020529                             | 3395658      | 2        |   3.28%       | [27, 48]
3995441                             | 83010        | 2        |   3.28%       | [55, 110]
3840191                             | 584402       | 2        |   3.28%       | [27, 90]
3795073                             | 2826096      | 2        |   3.28%       | [57, 58]
3734083                             | 2996083      | 2        |   3.28%       | [62, 120]
3657131                             | 3197119      | 2        |   3.28%       | [32, 46]
3644153                             | 3496217      | 2        |   3.28%       | [24, 29]
3521659                             | 3062705      | 2        |   3.28%       | [59, 110]
3394453                             | 2635432      | 2        |   3.28%       | [25, 51]
3267317                             | 2881011      | 2        |   3.28%       | [48, 62]
3193789                             | 875389       | 2        |   3.28%       | [28, 31]
3119759                             | 2549079      | 2        |   3.28%       | [33, 115]
3081017                             | 716123       | 2        |   3.28%       | [46, 56]
3066773                             | 2165630      | 2        |   3.28%       | [32, 44]
3050479                             | 2680719      | 2        |   3.28%       | [25, 26]
3042367                             | 2556435      | 2        |   3.28%       | [23, 42]
3013783                             | 826465       | 2        |   3.28%       | [45, 120]
2921753                             | 2659427      | 2        |   3.28%       | [28, 46]
2651063                             | 276421       | 2        |   3.28%       | [47, 66]
2641559                             | 312515       | 2        |   3.28%       | [30, 43]
2634479                             | 74309        | 2        |   3.28%       | [31, 66]
2617091                             | 2032119      | 2        |   3.28%       | [27, 51]
2606771                             | 1917821      | 2        |   3.28%       | [43, 64]
2543623                             | 463880       | 2        |   3.28%       | [22, 120]
2536763                             | 853821       | 2        |   3.28%       | [48, 95]
2472091                             | 363010       | 2        |   3.28%       | [46, 62]
2448737                             | 701328       | 2        |   3.28%       | [23, 95]
2411881                             | 1477480      | 2        |   3.28%       | [26, 47]
2411203                             | 2372056      | 2        |   3.28%       | [52, 110]
2404847                             | 1791984      | 2        |   3.28%       | [48, 61]
2383033                             | 359350       | 2        |   3.28%       | [29, 38]
2337217                             | 464471       | 2        |   3.28%       | [25, 125]
2321369                             | 1549606      | 2        |   3.28%       | [31, 33]
2318711                             | 1636385      | 2        |   3.28%       | [31, 61]
2312521                             | 1470772      | 2        |   3.28%       | [51, 70]
2279257                             | 124621       | 2        |   3.28%       | [48, 52]
2265881                             | 2082810      | 2        |   3.28%       | [40, 45]
2242157                             | 1401511      | 2        |   3.28%       | [40, 63]
2208707                             | 1999951      | 2        |   3.28%       | [41, 85]
2208581                             | 2028020      | 2        |   3.28%       | [31, 67]
2207951                             | 2108105      | 2        |   3.28%       | [61, 90]
2198597                             | 2020091      | 2        |   3.28%       | [27, 30]
2192207                             | 1811764      | 2        |   3.28%       | [21, 42]
2176211                             | 634222       | 2        |   3.28%       | [49, 52]
2149127                             | 1217884      | 2        |   3.28%       | [52, 115]
2147617                             | 1252132      | 2        |   3.28%       | [29, 85]
2104177                             | 1228492      | 2        |   3.28%       | [36, 85]
2045509                             | 657011       | 2        |   3.28%       | [33, 41]
2031251                             | 1607633      | 2        |   3.28%       | [47, 85]
2016541                             | 1152829      | 2        |   3.28%       | [31, 34]
2015177                             | 647628       | 2        |   3.28%       | [38, 60]
2013359                             | 441755       | 2        |   3.28%       | [31, 41]
1957037                             | 1765644      | 2        |   3.28%       | [44, 100]
1945003                             | 1708796      | 2        |   3.28%       | [23, 110]
1902611                             | 1768119      | 2        |   3.28%       | [69, 90]
1899757                             | 439954       | 2        |   3.28%       | [75, 120]
1876513                             | 693991       | 2        |   3.28%       | [31, 95]
1853471                             | 741681       | 2        |   3.28%       | [27, 36]
1841599                             | 1454001      | 2        |   3.28%       | [27, 56]
1830599                             | 321717       | 2        |   3.28%       | [42, 80]
1826947                             | 1180556      | 2        |   3.28%       | [22, 57]
1804207                             | 1799227      | 2        |   3.28%       | [24, 33]
1797947                             | 405640       | 2        |   3.28%       | [44, 45]
1796591                             | 69101        | 2        |   3.28%       | [29, 54]
1787683                             | 1438042      | 2        |   3.28%       | [34, 35]
1771981                             | 1379432      | 2        |   3.28%       | [26, 47]
1760527                             | 1321928      | 2        |   3.28%       | [34, 36]
1746697                             | 1099708      | 2        |   3.28%       | [59, 61]
1716613                             | 1477671      | 2        |   3.28%       | [30, 33]
1712567                             | 206753       | 2        |   3.28%       | [65, 67]
1708229                             | 128649       | 2        |   3.28%       | [52, 65]
1679459                             | 1293967      | 2        |   3.28%       | [37, 66]
1664279                             | 1281934      | 2        |   3.28%       | [26, 29]
1639201                             | 1424670      | 2        |   3.28%       | [28, 40]
1615837                             | 195927       | 2        |   3.28%       | [21, 46]
1613471                             | 842963       | 2        |   3.28%       | [42, 53]
1612759                             | 1593837      | 2        |   3.28%       | [46, 68]
1595611                             | 997902       | 2        |   3.28%       | [58, 59]
1593191                             | 16920        | 2        |   3.28%       | [37, 69]
1571393                             | 1436110      | 2        |   3.28%       | [22, 31]
1562381                             | 739358       | 2        |   3.28%       | [29, 67]
1548763                             | 1515010      | 2        |   3.28%       | [28, 62]
1540169                             | 1467334      | 2        |   3.28%       | [22, 39]
1524287                             | 1223688      | 2        |   3.28%       | [55, 85]
1512223                             | 249033       | 2        |   3.28%       | [37, 65]
1505431                             | 186197       | 2        |   3.28%       | [42, 120]
1484291                             | 50500        | 2        |   3.28%       | [66, 120]
1476217                             | 252217       | 2        |   3.28%       | [48, 67]
1451741                             | 134099       | 2        |   3.28%       | [37, 43]
1447811                             | 468494       | 2        |   3.28%       | [27, 75]
1426237                             | 666216       | 2        |   3.28%       | [38, 43]
1411987                             | 308806       | 2        |   3.28%       | [24, 48]
1401031                             | 418366       | 2        |   3.28%       | [24, 47]
1390409                             | 1125170      | 2        |   3.28%       | [56, 62]
1381609                             | 1050532      | 2        |   3.28%       | [28, 105]
1378217                             | 344367       | 2        |   3.28%       | [44, 125]
1371187                             | 976692       | 2        |   3.28%       | [44, 65]
1350317                             | 535357       | 2        |   3.28%       | [42, 90]
1316593                             | 903203       | 2        |   3.28%       | [37, 67]
1305047                             | 493421       | 2        |   3.28%       | [45, 100]
1295839                             | 190741       | 2        |   3.28%       | [52, 95]
1266431                             | 424182       | 2        |   3.28%       | [50, 68]
1263341                             | 480821       | 2        |   3.28%       | [22, 80]
1250971                             | 1208657      | 2        |   3.28%       | [28, 38]
1243093                             | 1085863      | 2        |   3.28%       | [26, 52]
1240273                             | 571491       | 2        |   3.28%       | [21, 44]
1228333                             | 823182       | 2        |   3.28%       | [33, 42]
1226341                             | 448799       | 2        |   3.28%       | [40, 75]
1225643                             | 586121       | 2        |   3.28%       | [21, 61]
1174969                             | 668066       | 2        |   3.28%       | [42, 48]
1164557                             | 409422       | 2        |   3.28%       | [32, 75]
1155689                             | 78181        | 2        |   3.28%       | [43, 120]
1146221                             | 682650       | 2        |   3.28%       | [28, 56]
1144877                             | 944426       | 2        |   3.28%       | [44, 64]
1132919                             | 162201       | 2        |   3.28%       | [39, 58]
1121257                             | 19237        | 2        |   3.28%       | [28, 90]
1108567                             | 545519       | 2        |   3.28%       | [31, 63]
1096763                             | 282619       | 2        |   3.28%       | [25, 51]
1088267                             | 358557       | 2        |   3.28%       | [64, 115]
1079087                             | 345511       | 2        |   3.28%       | [53, 75]
1068577                             | 27507        | 2        |   3.28%       | [28, 45]
1067263                             | 460630       | 2        |   3.28%       | [45, 49]
1057699                             | 1057405      | 2        |   3.28%       | [49, 110]
1053583                             | 498317       | 2        |   3.28%       | [52, 53]
1046077                             | 54541        | 2        |   3.28%       | [33, 54]
1043663                             | 1012429      | 2        |   3.28%       | [62, 80]
1040407                             | 825682       | 2        |   3.28%       | [28, 120]
1034791                             | 643824       | 2        |   3.28%       | [75, 120]
1033537                             | 571006       | 2        |   3.28%       | [61, 125]
1031507                             | 177285       | 2        |   3.28%       | [25, 31]
1029983                             | 234613       | 2        |   3.28%       | [44, 57]
1021711                             | 490757       | 2        |   3.28%       | [25, 35]
1014359                             | 54853        | 2        |   3.28%       | [52, 67]
993703                              | 630287       | 2        |   3.28%       | [23, 100]
985993                              | 309247       | 2        |   3.28%       | [26, 80]
968537                              | 843227       | 2        |   3.28%       | [21, 47]
968377                              | 959302       | 2        |   3.28%       | [38, 54]
967139                              | 249148       | 2        |   3.28%       | [35, 50]
965483                              | 619506       | 2        |   3.28%       | [46, 115]
962041                              | 517778       | 2        |   3.28%       | [55, 66]
961277                              | 111986       | 2        |   3.28%       | [48, 61]
959927                              | 29771        | 2        |   3.28%       | [24, 65]
956801                              | 684640       | 2        |   3.28%       | [67, 70]
946123                              | 596727       | 2        |   3.28%       | [32, 55]
944551                              | 533590       | 2        |   3.28%       | [47, 53]
938533                              | 133739       | 2        |   3.28%       | [58, 115]
933931                              | 234398       | 2        |   3.28%       | [30, 110]
929171                              | 853103       | 2        |   3.28%       | [30, 40]
927373                              | 671478       | 2        |   3.28%       | [53, 69]
920011                              | 912087       | 2        |   3.28%       | [58, 69]
902263                              | 115761       | 2        |   3.28%       | [31, 68]
897137                              | 316092       | 2        |   3.28%       | [22, 85]
888109                              | 40457        | 2        |   3.28%       | [37, 51]
887191                              | 359442       | 2        |   3.28%       | [25, 90]
881779                              | 308128       | 2        |   3.28%       | [23, 90]
879961                              | 812902       | 2        |   3.28%       | [85, 125]
869419                              | 314878       | 2        |   3.28%       | [56, 100]
866389                              | 566452       | 2        |   3.28%       | [24, 75]
865769                              | 404188       | 2        |   3.28%       | [23, 47]
865537                              | 219810       | 2        |   3.28%       | [33, 105]
860071                              | 510544       | 2        |   3.28%       | [50, 85]
855317                              | 664679       | 2        |   3.28%       | [53, 64]
851351                              | 810043       | 2        |   3.28%       | [52, 120]
841697                              | 108933       | 2        |   3.28%       | [46, 57]
815989                              | 78937        | 2        |   3.28%       | [66, 80]
814003                              | 757833       | 2        |   3.28%       | [45, 59]
807491                              | 585030       | 2        |   3.28%       | [22, 49]
793181                              | 602554       | 2        |   3.28%       | [26, 43]
789851                              | 11767        | 2        |   3.28%       | [25, 38]
767587                              | 718694       | 2        |   3.28%       | [59, 115]
766067                              | 411913       | 2        |   3.28%       | [43, 69]
762989                              | 113269       | 2        |   3.28%       | [44, 80]
761521                              | 268155       | 2        |   3.28%       | [23, 38]
754921                              | 266510       | 2        |   3.28%       | [35, 48]
746227                              | 361899       | 2        |   3.28%       | [32, 52]
741833                              | 295496       | 2        |   3.28%       | [35, 58]
732133                              | 446149       | 2        |   3.28%       | [35, 120]
731183                              | 612395       | 2        |   3.28%       | [49, 110]
726811                              | 367988       | 2        |   3.28%       | [68, 70]
724531                              | 695859       | 2        |   3.28%       | [59, 95]
723551                              | 439394       | 2        |   3.28%       | [28, 80]
720607                              | 135907       | 2        |   3.28%       | [38, 90]
713347                              | 639075       | 2        |   3.28%       | [95, 100]
703301                              | 292856       | 2        |   3.28%       | [51, 67]
695281                              | 478305       | 2        |   3.28%       | [35, 85]
691637                              | 639562       | 2        |   3.28%       | [68, 100]
688379                              | 593584       | 2        |   3.28%       | [30, 47]
682063                              | 392459       | 2        |   3.28%       | [68, 90]
681523                              | 618458       | 2        |   3.28%       | [43, 90]
676337                              | 286973       | 2        |   3.28%       | [44, 53]
670541                              | 624337       | 2        |   3.28%       | [66, 120]
669247                              | 185692       | 2        |   3.28%       | [27, 110]
655301                              | 280096       | 2        |   3.28%       | [36, 62]
637339                              | 500090       | 2        |   3.28%       | [23, 61]
637097                              | 349406       | 2        |   3.28%       | [34, 61]
636773                              | 400878       | 2        |   3.28%       | [31, 39]
634441                              | 292136       | 2        |   3.28%       | [30, 47]
630391                              | 182337       | 2        |   3.28%       | [47, 50]
628681                              | 494097       | 2        |   3.28%       | [25, 100]
623209                              | 171248       | 2        |   3.28%       | [48, 57]
622621                              | 617834       | 2        |   3.28%       | [23, 95]
616877                              | 48386        | 2        |   3.28%       | [42, 65]
608011                              | 75917        | 2        |   3.28%       | [27, 65]
599153                              | 206425       | 2        |   3.28%       | [23, 39]
598903                              | 553983       | 2        |   3.28%       | [27, 67]
597599                              | 317564       | 2        |   3.28%       | [25, 29]
593449                              | 119644       | 2        |   3.28%       | [54, 105]
590543                              | 383576       | 2        |   3.28%       | [56, 57]
581699                              | 164403       | 2        |   3.28%       | [50, 69]
580409                              | 416070       | 2        |   3.28%       | [37, 56]
578881                              | 144892       | 2        |   3.28%       | [45, 80]
578609                              | 229100       | 2        |   3.28%       | [32, 68]
576721                              | 407016       | 2        |   3.28%       | [42, 62]
